x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.67125	1	0.5	1	2.5	1	0.5	1	2.5
0.67375	1	0.5	1	2.5	1	0.5	1	2.5
0.67625	1	0.5	1	2.5	1	0.5	1	2.5
0.67875	1	0.5	1	2.5	1	0.5	1	2.5
0.68125	1	0.5	1	2.5	1	0.5	1	2.5
0.68375	1	0.5	1	2.5	1	0.5	1	2.5
0.68625	1	0.5	1	2.5	1	0.5	1	2.5
0.68875	1	0.5	1	2.5	1	0.5	1	2.5
0.69125	1	0.5	1	2.5	1	0.5	1	2.5
0.69375	1	0.5	1	2.5	1	0.5	1	2.5
0.69625	1	0.5	1	2.5	1	0.5	1	2.5
0.69875	0.999999	0.5	1	2.5	1	0.5	1	2.5
0.70125	0.999998	0.5	1	2.5	1	0.5	1	2.5
0.70375	0.999995	0.5	1	2.50001	1	0.5	1	2.5
0.70625	0.999988	0.5	1	2.50003	1	0.5	1	2.5
0.70875	0.999968	0.5	1	2.50008	1	0.5	1	2.5
0.71125	0.99992	0.5	1	2.5002	1	0.5	1	2.5
0.71375	0.999798	0.5	1	2.5005	1	0.5	1	2.5
0.71625	0.999491	0.5	1	2.50127	1	0.5	1	2.5
0.71875	0.998711	0.5	1	2.50323	1	0.5	1	2.5
0.72125	0.99672	0.5	1	2.50823	1	0.5	1	2.5
0.72375	0.991903	0.5	1	2.52041	1	0.5	1	2.5
0.72625	0.978561	0.5	1	2.55477	1	0.5	1	2.5
0.72875	0.951184	0.5	1	2.6283	1	0.5	1	2.5
0.73125	0.910636	0.5	1	2.74533	1	0.5	1	2.5
0.73375	0.859504	0.5	1	2.90865	1	0.5	1	2.5
0.73625	0.801421	0.5	1	3.11946	1	0.5	1	2.5
0.73875	0.740967	0.5	1	3.37397	1	0.5	1	2.5
0.74125	0.682044	0.5	1	3.66545	1	0.5	1	2.5
0.74375	0.626102	0.5	1	3.99296	1	0.5	1	2.5
0.74625	0.573464	0.5	1	4.35947	1	0.5	1	2.5
0.74875	0.524368	0.5	1	4.76765	1	0.5	1	2.5
0.75125	0.478954	0.5	1	5.2197	0.138	0.5	1	18.1159
0.75375	0.437281	0.5	1	5.71715	0.138	0.5	1	18.1159
0.75625	0.399328	0.5	1	6.26052	0.138	0.5	1	18.1159
0.75875	0.365015	0.5	1	6.84903	0.138	0.5	1	18.1159
0.76125	0.33421	0.5	1	7.48033	0.138	0.5	1	18.1159
0.76375	0.30674	0.5	1	8.15023	0.138	0.5	1	18.1159
0.76625	0.282404	0.5	1	8.85257	0.138	0.5	1	18.1159
0.76875	0.26098	0.5	1	9.57928	0.138	0.5	1	18.1159
0.77125	0.242235	0.5	1	10.3205	0.138	0.5	1	18.1159
0.77375	0.225933	0.5	1	11.0652	0.138	0.5	1	18.1159
0.77625	0.211836	0.5	1	11.8016	0.138	0.5	1	18.1159
0.77875	0.199716	0.5	1	12.5178	0.138	0.5	1	18.1159
0.78125	0.189352	0.5	1	13.2029	0.138	0.5	1	18.1159
0.78375	0.180539	0.5	1	13.8474	0.138	0.5	1	18.1159
0.78625	0.173083	0.5	1	14.444	0.138	0.5	1	18.1159
0.78875	0.166808	0.5	1	14.9873	0.138	0.5	1	18.1159
0.79125	0.161553	0.5	1	15.4748	0.138	0.5	1	18.1159
0.79375	0.157176	0.5	1	15.9058	0.138	0.5	1	18.1159
0.79625	0.153546	0.5	1	16.2817	0.138	0.5	1	18.1159
0.79875	0.150551	0.5	1	16.6056	0.138	0.5	1	18.1159
0.80125	0.148092	0.5	1	16.8814	0.138	0.5	1	18.1159
0.80375	0.146081	0.5	1	17.1138	0.138	0.5	1	18.1159
0.80625	0.144445	0.5	1	17.3076	0.138	0.5	1	18.1159
0.80875	0.14312	0.5	1	17.4679	0.138	0.5	1	18.1159
0.81125	0.142051	0.5	1	17.5993	0.138	0.5	1	18.1159
0.81375	0.141193	0.5	1	17.7063	0.138	0.5	1	18.1159
0.81625	0.140507	0.5	1	17.7927	0.138	0.5	1	18.1159
0.81875	0.139961	0.5	1	17.8622	0.138	0.5	1	18.1159
0.82125	0.139528	0.5	1	17.9176	0.138	0.5	1	18.1159
0.82375	0.139186	0.5	1	17.9616	0.138	0.5	1	18.1159
0.82625	0.138917	0.5	1	17.9964	0.138	0.5	1	18.1159
0.82875	0.138706	0.5	1	18.0237	0.138	0.5	1	18.1159
0.83125	0.138542	0.5	1	18.045	0.138	0.5	1	18.1159
0.83375	0.138415	0.5	1	18.0617	0.138	0.5	1	18.1159
0.83625	0.138316	0.5	1	18.0745	0.138	0.5	1	18.1159
0.83875	0.13824	0.5	1	18.0845	0.138	0.5	1	18.1159
0.84125	0.138182	0.5	1	18.0921	0.138	0.5	1	18.1159
0.84375	0.138137	0.5	1	18.098	0.138	0.5	1	18.1159
0.84625	0.138103	0.5	1	18.1024	0.138	0.5	1	18.1159
0.84875	0.138077	0.5	1	18.1058	0.138	0.5	1	18.1159
0.85125	0.138057	0.5	1	18.1084	0.138	0.5	1	18.1159
0.85375	0.138043	0.5	1	18.1103	0.138	0.5	1	18.1159
0.85625	0.138032	0.5	1	18.1118	0.138	0.5	1	18.1159
0.85875	0.138023	0.5	1	18.1129	0.138	0.5	1	18.1159
0.86125	0.138017	0.5	1	18.1137	0.138	0.5	1	18.1159
0.86375	0.138013	0.5	1	18.1143	0.138	0.5	1	18.1159
0.86625	0.138009	0.5	1	18.1147	0.138	0.5	1	18.1159
0.86875	0.138007	0.5	1	18.1151	0.138	0.5	1	18.1159
0.87125	0.138005	0.5	1	18.1153	0.138	0.5	1	18.1159
0.87375	0.138004	0.5	1	18.1155	0.138	0.5	1	18.1159
0.87625	0.138003	0.5	1	18.1156	0.138	0.5	1	18.1159
0.87875	0.138002	0.5	1	18.1157	0.138	0.5	1	18.1159
0.88125	0.138001	0.5	1	18.1158	0.138	0.5	1	18.1159
0.88375	0.138001	0.5	1	18.1158	0.138	0.5	1	18.1159
0.88625	0.138001	0.5	1	18.1159	0.138	0.5	1	18.1159
0.88875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.89125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.89375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.89625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.89875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.90125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.90375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.90625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.90875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.91125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.91375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.91625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.91875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.92125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.92375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.92625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.92875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.93125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.93375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.93625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.93875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.94125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.94375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.94625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.94875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.95125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.95375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.95625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.95875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.96125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.96375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.96625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.96875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.97125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.97375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.97625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.97875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.98125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.98375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.98625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.98875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.99125	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.99375	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.99625	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.99875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
